moft	most
muft	must
fome	some
fhould	should
thefe	these
fuch	such
thofe	those
firft	first
alfo	also
ftyle	style
fhall	shall
fubject	subject
Thefe	These
fince	since
himfelf	himself
ftrong	strong
fhe	she
lefs	less
againft	against
Englifh	English
feveral	several
whofe	whose
fenfe	sense
ftrength	strength
prefent	present
difcourfe	discourse
fecond	second
fometimes	sometimes
fentence	sentence
neceffary	necessary
laft	last
fimple	simple
fpeaker	speaker
fet	set
beft	best
higheft	highest
compofition	composition
fpeaking	speaking
caufe	cause
ufed	used
ftill	still
exprefs	express
feems	seems
fpecies	species
diftinguifhed	distinguished
ufe	use
ftudy	study
greateft	greatest
ftate	state
refpect	respect
reft	rest
pleafing	pleasing
fublime	sublime
defcription	description
pleafe	please
fubjects	subjects
requifite	requisite
confiderable	considerable
interefting	interesting
juft	just
leaft	least
eafily	easily
reafon	reason
fpeak	speak
vfe	vse
verfe	verse
paffions	passions
confidered	considered
tafte	taste
inftances	instances
fentences	sentences
inftead	instead
fpirit	spirit
paffage	passage
clofe	close
pleafant	pleasant
fhort	short
pleafures	pleasures
inftance	instance
becaufe	because
perfon	person
ftage	stage
meafure	measure
felfe	selfe
pleafure	pleasure
ufeful	useful
diftinction	distinction
circumftances	circumstances
fingle	single
faid	said
wifh	wish
fmall	small
fpeech	speech
expreffion	expression
ftriking	striking
fuited	suited
glaffe	glasse
ftil	stil
perfons	persons
fhow	show
themfelves	themselves
confifts	consists
expreffed	expressed
ftudied	studied
difcover	discover
prefented	presented
fcene	scene
refemblance	resemblance
converfation	conversation
impreffion	impression
ftand	stand
confider	consider
midft	midst
fhal	shal
caft	cast
fecret	secret
eafy	easy
fentiments	sentiments
ourfelves	ourselves
fcenes	scenes
harfh	harsh
expreffes	expresses
itfelf	itself
ferious	serious
defire	desire
Whofe	Whose
ferue	serue
occafions	occasions
likewife	likewise
ftately	stately
courfe	course
VVhofe	VVhose
Tafte	Taste
fuperior	superior
Addifon	Addison
obferve	observe
confequently	consequently
Befide	Beside
oppofed	opposed
raife	raise
obferved	observed
almoft	almost
conftruction	construction
diftinct	distinct
fuppofe	suppose
addrefs	address
paffion	passion
compofitions	compositions
fays	says
hiftorical	historical
defcribe	describe
progrefs	progress
feeme	seeme
confift	consist
fenfible	sensible
loofe	loose
arifes	arises
defign	design
compofed	composed
defcriptions	descriptions
precife	precise
circumftance	circumstance
feparate	separate
fuppofed	supposed
defcriptive	descriptive
paftoral	pastoral
felf	self
occafion	occasion
paft	past
ftands	stands
fifters	sisters
lofe	lose
concife	concise
Paradife	Paradise
effential	essential
exercife	exercise
relifh	relish
extenfive	extensive
feldom	seldom
fource	source
figns	signs
underftood	understood
reafoning	reasoning
poffeffes	possesses
expreffions	expressions
ftrain	strain
fhows	shows
hiftory	history
difcovers	discovers
feen	seen
houfe	house
fure	sure
falfe	false
earneft	earnest
efpecially	especially
obfcure	obscure
faft	fast
verfes	verses
otherwife	otherwise
paufe	pause
elfe	else
fifter	sister
chofen	chosen
univerfally	universally
juftly	justly
majefty	majesty
fplendid	splendid
defcribed	described
concifenefs	conciseness
verfification	versification
rifing	rising
fentiment	sentiment
diftinguifh	distinguish
previoufly	previously
expreffive	expressive
comparifon	comparison
divifion	division
fomething	something
intereft	interest
Gafcoigne	Gascoigne
foeuer	soeuer
filence	silence
phrafe	phrase
paufes	pauses
faw	saw
affiftance	assistance
fufficient	sufficient
clofely	closely
himfelfe	himselfe
Pleafures	Pleasures
fupply	supply
folid	solid
ferve	serve
refpects	respects
difcovered	discovered
purpofe	purpose
Thofe	Those
deferves	deserves
vaft	vast
fublimity	sublimity
clafs	class
afked	asked
raifed	raised
gefture	gesture
refemble	resemble
ftronger	stronger
hiftorian	historian
paffionate	passionate
mufic	music
drefs	dress
caufes	causes
defcribing	describing
contraft	contrast
comparifons	comparisons
Demofthenes	Demosthenes
difplay	display
earlieft	earliest
paffages	passages
fundrie	sundrie
feme	seme
themfelues	themselues
Bycaufe	Bycause
truftie	trustie
flefh	flesh
truft	trust
thoufand	thousand
ftraight	straight
honeft	honest
breft	brest
ftrikes	strikes
mafter	master
deuife	deuise
iuft	iust
ftrange	strange
bycaufe	bycause
longeft	longest
pleafed	pleased
fuffer	suffer
fpeake	speake
fharpe	sharpe
cenfure	censure
feke	seke
feldome	seldome
eafe	ease
fword	sword
fearch	search
foft	soft
priefts	priests
geftures	gestures
Hiftory	History
furnifh	furnish
rifes	rises
poffefs	possess
ftory	story
difcovery	discovery
fenfibility	sensibility
claffes	classes
fimilar	similar
fimplicity	simplicity
fupported	supported
defcribes	describes
fpread	spread
oppofite	opposite
conftructed	constructed
difpofed	disposed
conftitute	constitute
mufical	musical
neceffity	necessity
underftanding	understanding
vifible	visible
fpeaks	speaks
pafs	pass
foon	soon
bufinefs	business
eftablifhed	established
fucceffion	succession
fkill	skill
perfpicuity	perspicuity
expreffing	expressing
queftion	question
conclufion	conclusion
treatife	treatise
Firft	First
fucceed	succeed
fuggefted	suggested
Shakefpeare	Shakespeare
ftrongly	strongly
perfuafive	persuasive
affembly	assembly
characteriftic	characteristic
feries	series
finifhed	finished
vifit	visit
confequence	consequence
abfence	absence
Glaffe	Glasse
chriftal	christal
inftructions	instructions
praife	praise
englifh	english
paffed	passed
meafures	measures
vfed	vsed
fyllables	syllables
firfte	firste
underftand	understand
deuifed	deuised
foone	soone
fhewe	shewe
profeffed	professed
fingular	singular
accufed	accused
fing	sing
luft	lust
fongs	songs
fong	song
fhuld	shuld
fwelling	swelling
Addifon's	Addison's
Odyffey	Odyssey
tranfition	transition
confufed	confused
reprefentations	representations
interefts	interests
difplayed	displayed
compofe	compose
fphere	sphere
obfervations	observations
picturefque	picturesque
abftract	abstract
purfued	pursued
diftant	distant
ftream	stream
reprefentation	representation
feem	seem
expofed	exposed
phrafes	phrases
fignify	signify
intercourfe	intercourse
profe	prose
founds	sounds
precifion	precision
confeffed	confessed
poffeffed	possessed
requifites	requisites
fmoothnefs	smoothness
preferve	preserve
unlefs	unless
oppofition	opposition
ftrict	strict
pofition	position
befide	beside
ftructure	structure
ufually	usually
efcape	escape
